Author	Id	Content	Created_at	Edited_at	Mentions
Anders	725358553979945050	🗳️ pqr	2020-06-24 14:35:55.779000	None	
Anders	725468585996320838	<sacrifice655946392082186302> ~~emmi~~	2020-06-24 21:53:09.456000	2020-06-25 12:12:17.525000	
Anders	725684405720449055	unvote	2020-06-25 12:10:44.888000	None	
Anders	725694111180390413	~~<sacrifice655946392082186302> Rozy~~	2020-06-25 12:49:18.850000	2020-06-25 13:29:22.702000	
Anders	725703970953232394	unvote	2020-06-25 13:28:29.603000	None	
Anders	725703973633261599	<sacrifice655946392082186302> Donkey-Dude	2020-06-25 13:28:30.242000	None	
Anders	725719019834835004	Unvote	2020-06-25 14:28:17.536000	None	
Anders	725721371358789682	<sacrifice655946392082186302> rozy	2020-06-25 14:37:38.183000	None	
