Author	Id	Content	Created_at	Edited_at	Mentions
Sharur	725083579893415977	~~🗳️ Will~~	2020-06-23 20:23:16.848000	2020-06-23 20:44:55.343000	
Sharur	725086129430200372	~~<sacrifice655946392082186302> mik~~	2020-06-23 20:33:24.705000	2020-06-23 22:26:07.157000	
Sharur	725089045985624134	~~🗳️ pqr~~	2020-06-23 20:45:00.066000	2020-06-24 01:04:34.308000	
Sharur	725114506279256147	~~<sacrifice655946392082186302> Caetra~~	2020-06-23 22:26:10.273000	2020-06-24 19:59:10.396000	
Sharur	725154395813052446	unvote 🗳️	2020-06-24 01:04:40.679000	None	
Sharur	725438708748124200	~~<sacrifice655946392082186302> Rozy~~	2020-06-24 19:54:26.165000	2020-06-24 20:30:11.193000	
Sharur	725447722097967165	<sacrifice655946392082186302> Donkey-Dude	2020-06-24 20:30:15.115000	None	
Sharur	725721364505296946	<sacrifice655946392082186302> Rozy	2020-06-25 14:37:36.549000	None	
Sharur	725721685264957451	oh baby, a triple!	2020-06-25 14:38:53.024000	None	
