Author	Id	Content	Created_at	Edited_at	Mentions
Bluey The Bear	724997320260976672	<@&720604360756822117>s cast your Day 1 votes below. >8 needed for a majority. |newline|  |newline| Current <sacrifice655946392082186302> Votes: |newline| <sacrifice655946392082186302> **Rozyroz**: mikaelsson, Donkey-Dude, DDL, pqr, catoftheyear, Caetra, Emmi, Will((ow)|(iam)), Sharur |newline| <sacrifice655946392082186302> **Donkey-Dude**:  bazkitcase5, Rozyroz, Fircoal, Jerry,  |newline| **Has Not Voted**: Ravenshard,  eh1414, Anders |newline|  |newline| Current Governor Votes: |newline| 🗳️ **Fircoal**: Caetra |newline| 🗳️ **pqr**: Ravenshard, mikaelsson, pqr, Rozyroz, bazkitcase5, catoftheyear, DDL, Jerrydot, Anders |newline| 🗳️ **Ravenshard**: Donkey-Dude |newline| 🗳️ **Will((ow)|(iam))**: Will((ow)|(iam)) |newline| **Has Not Voted**: Fircoal, eh1414, Emmi, Sharur	2020-06-23 14:40:30.949000	2020-06-25 14:38:48.265000	
Bluey The Bear	725000707362783323		2020-06-23 14:53:58.497000	None	
