Author	Id	Content	Created_at	Edited_at	Mentions
Ravenshard	724997974371074069	🗳️  pqr	2020-06-23 14:43:06.901000	None	
Ravenshard	724998084366565477	<sacrifice655946392082186302>  ~~Jerry~~	2020-06-23 14:43:33.126000	2020-06-24 22:24:46.187000	
Ravenshard	725435429628936302	unvote <sacrifice655946392082186302>	2020-06-24 19:41:24.362000	None	
Ravenshard	725438699168333914	<sacrifice655946392082186302>  ~~Rozy~~	2020-06-24 19:54:23.881000	2020-06-25 14:23:30.650000	
Ravenshard	725717770188095570	Unvote <sacrifice655946392082186302>   |newline| <sacrifice655946392082186302>  ~~D-D~~	2020-06-25 14:23:19.597000	2020-06-25 14:27:08.884000	
Ravenshard	725718662652231720	unvote <sacrifice655946392082186302>	2020-06-25 14:26:52.377000	None	
Ravenshard	725721431937253437	<sacrifice655946392082186302>  rozy	2020-06-25 14:37:52.626000	None	
