Author	Id	Content	Created_at	Edited_at	Mentions
DDL	725004706983968829	🗳️ ~~catoftheyear~~	2020-06-23 15:09:52.081000	2020-06-24 01:38:38.772000	
DDL	725024373290958980	<sacrifice655946392082186302> ~~Jerry~~	2020-06-23 16:28:00.894000	2020-06-24 16:14:18.779000	
DDL	725162998834135071	🗳️ pqr	2020-06-24 01:38:51.799000	None	
DDL	725383256870092960	<sacrifice655946392082186302> ~~mikaelsson~~	2020-06-24 16:14:05.407000	2020-06-24 22:55:02.719000	
DDL	725484113586552903	<sacrifice655946392082186302> Rozy	2020-06-24 22:54:51.522000	None	
