Author	Id	Content	Created_at	Edited_at	Mentions
Caetra	724997851779694632	~~<sacrifice655946392082186302> mikaelsson~~	2020-06-23 14:42:37.673000	2020-06-23 19:36:54.474000	
Caetra	724997910126657577	🗳️ fircoal	2020-06-23 14:42:51.584000	None	
Caetra	725072007451902072	~~<sacrifice655946392082186302> will~~	2020-06-23 19:37:17.763000	2020-06-24 16:55:30.101000	
Caetra	725393710082424894	~~<sacrifice655946392082186302> catoftheyear~~	2020-06-24 16:55:37.647000	2020-06-24 18:10:05.724000	
Caetra	725412458465984582	unvote	2020-06-24 18:10:07.610000	None	
Caetra	725717049434963999	<sacrifice655946392082186302> rozy	2020-06-25 14:20:27.756000	None	
Caetra	725721517778010223	HAMMER 3X COMBO	2020-06-25 14:38:13.092000	None	
