Author	Id	Content	Created_at	Edited_at	Mentions
Rozyroz	725048522940088322	I have to say that Sharur's inactivity shouldn	2020-06-23 18:03:58.619000	None	
Rozyroz	725048563444482098	go unnoticed	2020-06-23 18:04:08.276000	None	
Rozyroz	725048791690117141	oh I missed that, well then I won't find them sus for that	2020-06-23 18:05:02.694000	None	
Rozyroz	725049603376021618	Because I think that they are active and would be a good leader for our village	2020-06-23 18:08:16.215000	None	
Rozyroz	725158228232634460	I think we need someone to make a governor emoji	2020-06-24 01:19:54.399000	None	
Rozyroz	725158730043359266	We at least need something to react to the deciding governor vote with	2020-06-24 01:21:54.040000	None	
Rozyroz	725159199159353686	> 🔨 seems appropriate for the gov election too |newline| <@!596373234262474764>  I don’t think that’s true	2020-06-24 01:23:45.886000	None	,Bluey The Bear#1472
