Author	Id	Content	Created_at	Edited_at	Mentions
Jerry	724998317108625480	🗳️ ~~pqr~~	2020-06-23 14:44:28.616000	2020-06-24 09:08:42.678000	
Jerry	724998351233220678	<sacrifice655946392082186302> ~~Caetra~~	2020-06-23 14:44:36.752000	2020-06-24 09:08:50.546000	
Jerry	725276166507987006	unvote unvote	2020-06-24 09:08:33.075000	None	
Jerry	725276299953831947	🗳️ pqr	2020-06-24 09:09:04.891000	None	
Jerry	725276590493138946	<sacrifice655946392082186302> ~~Caetra~~	2020-06-24 09:10:14.161000	2020-06-25 12:31:39.024000	
Jerry	725689622465609838	unvote	2020-06-25 12:31:28.657000	None	
Jerry	725689944278040677	<sacrifice655946392082186302> Donkey-Dude	2020-06-25 12:32:45.383000	None	
